iter	Passed	Remaining
0	57	57634
1	57	28905
2	58	19327
3	58	14536
4	58	11664
5	58	9755
6	59	8385
7	59	7363
8	59	6561
9	59	5921
10	60	5400
11	60	4964
12	60	4595
13	60	4279
14	61	4011
15	61	3770
16	61	3557
17	61	3370
18	61	3200
19	62	3048
20	62	2909
21	62	2784
22	62	2672
23	63	2566
24	63	2470
25	63	2381
26	63	2298
27	63	2221
28	64	2149
29	64	2082
30	64	2019
31	64	1960
32	65	1906
33	65	1854
34	65	1805
35	65	1758
36	65	1715
37	66	1673
38	66	1634
39	66	1597
40	66	1561
41	66	1526
42	67	1494
43	67	1463
44	67	1433
45	67	1405
46	67	1378
47	68	1352
48	68	1327
49	68	1303
50	68	1280
51	69	1258
52	69	1237
53	69	1216
54	69	1197
55	69	1177
56	70	1159
57	70	1142
58	70	1125
59	70	1108
60	70	1092
61	71	1077
62	71	1062
63	71	1048
64	71	1034
65	72	1020
66	72	1007
67	72	993
68	72	981
69	72	968
70	73	956
71	73	944
72	73	933
73	73	922
74	73	911
75	74	900
76	74	890
77	74	880
78	74	871
79	74	861
80	75	852
81	75	843
82	75	833
83	75	824
84	75	816
85	76	808
86	76	800
87	76	792
88	76	784
89	76	777
90	77	770
91	77	762
92	77	755
93	77	748
94	77	742
95	78	735
96	78	728
97	78	723
98	78	717
99	79	711
100	79	705
101	79	699
102	79	693
103	79	687
104	80	682
105	80	676
106	80	671
107	80	665
108	80	660
109	81	655
110	81	650
111	81	645
112	81	640
113	81	635
114	81	630
115	82	625
116	82	620
117	82	616
118	82	612
119	82	607
120	83	603
121	83	598
122	83	594
123	83	590
124	83	586
125	84	582
126	84	578
127	84	574
128	84	570
129	84	567
130	84	563
131	85	559
132	85	556
133	85	553
134	85	549
135	85	546
136	86	542
137	86	539
138	86	536
139	86	532
140	86	529
141	87	525
142	87	522
143	87	519
144	87	516
145	87	513
146	88	510
147	88	507
148	88	504
149	88	502
150	88	499
151	88	496
152	89	493
153	89	490
154	89	488
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	469
162	91	467
163	91	464
164	91	462
165	91	460
166	91	457
167	91	455
168	92	453
169	92	451
170	92	448
171	92	446
172	92	444
173	93	442
174	93	440
175	93	438
176	93	435
177	93	433
178	94	431
179	94	430
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	409
191	96	407
192	97	405
193	97	403
194	97	402
195	97	400
196	97	398
197	98	397
198	98	395
199	98	393
200	98	391
201	98	390
202	99	388
203	99	387
204	99	385
205	99	383
206	99	382
207	100	380
208	100	379
209	100	377
210	100	376
211	100	374
212	101	373
213	101	372
214	101	370
215	101	369
216	101	367
217	102	366
218	102	365
219	102	363
220	102	362
221	102	360
222	103	359
223	103	358
224	103	356
225	103	355
226	103	353
227	104	352
228	104	351
229	104	349
230	104	348
231	104	347
232	105	346
233	105	344
234	105	343
235	105	342
236	105	341
237	106	339
238	106	338
239	106	337
240	106	336
241	106	334
242	107	333
243	107	332
244	107	331
245	107	330
246	107	329
247	108	327
248	108	326
249	108	325
250	108	324
251	108	323
252	109	322
253	109	321
254	109	320
255	109	318
256	110	318
257	110	317
258	110	316
259	110	314
260	110	313
261	111	312
262	111	311
263	111	310
264	111	309
265	111	308
266	112	307
267	112	306
268	112	305
269	112	304
270	112	303
271	113	302
272	113	301
273	113	300
274	113	299
275	113	298
276	113	297
277	114	296
278	114	295
279	114	294
280	114	293
281	114	292
282	115	291
283	115	290
284	115	289
285	115	288
286	115	287
287	116	287
288	116	286
289	116	285
290	116	284
291	116	283
292	117	282
293	117	281
294	117	280
295	117	280
296	117	279
297	118	278
298	118	277
299	118	276
300	118	275
301	118	274
302	119	274
303	119	273
304	119	272
305	119	271
306	119	270
307	120	269
308	120	269
309	120	268
310	120	267
311	120	266
312	121	265
313	121	265
314	121	264
315	121	263
316	121	262
317	122	262
318	122	261
319	122	260
320	122	259
321	122	258
322	123	258
323	123	257
324	123	256
325	123	255
326	123	255
327	124	254
328	124	253
329	124	252
330	124	252
331	124	251
332	125	250
333	125	249
334	125	249
335	125	248
336	126	248
337	126	247
338	126	246
339	126	246
340	127	245
341	127	244
342	127	244
343	127	243
344	127	242
345	128	241
346	128	241
347	128	240
348	128	239
349	128	239
350	128	238
351	129	237
352	129	237
353	129	236
354	129	235
355	129	235
356	130	234
357	130	233
358	130	233
359	130	232
360	130	231
361	131	231
362	131	230
363	131	229
364	131	229
365	131	228
366	132	227
367	132	227
368	132	226
369	132	226
370	132	225
371	133	224
372	133	224
373	133	223
374	133	222
375	133	222
376	134	221
377	134	221
378	134	220
379	134	219
380	134	219
381	135	218
382	135	217
383	135	217
384	135	216
385	135	216
386	136	215
387	136	214
388	136	214
389	136	213
390	137	213
391	137	212
392	137	212
393	137	211
394	137	211
395	138	210
396	138	210
397	138	209
398	138	209
399	138	208
400	139	207
401	139	207
402	139	206
403	139	206
404	139	205
405	140	204
406	140	204
407	140	203
408	140	203
409	140	202
410	141	202
411	141	201
412	141	201
413	141	200
414	141	200
415	142	199
416	142	199
417	142	198
418	142	197
419	142	197
420	143	196
421	143	196
422	143	195
423	143	195
424	143	194
425	144	194
426	144	193
427	144	193
428	144	192
429	144	192
430	145	191
431	145	191
432	145	190
433	145	189
434	145	189
435	146	188
436	146	188
437	146	187
438	146	187
439	146	186
440	147	186
441	147	185
442	147	185
443	147	184
444	147	184
445	148	184
446	148	183
447	148	183
448	148	182
449	149	182
450	149	181
451	149	181
452	149	180
453	149	180
454	150	179
455	150	179
456	150	178
457	150	178
458	150	177
459	151	177
460	151	176
461	151	176
462	151	175
463	151	175
464	152	175
465	152	174
466	152	174
467	152	173
468	152	173
469	153	172
470	153	172
471	153	171
472	153	171
473	153	170
474	154	170
475	154	169
476	154	169
477	154	168
478	154	168
479	154	167
480	155	167
481	155	166
482	155	166
483	155	166
484	155	165
485	156	165
486	156	164
487	156	164
488	156	163
489	157	163
490	157	163
491	157	162
492	157	162
493	157	161
494	158	161
495	158	160
496	158	160
497	158	159
498	158	159
499	159	159
500	159	158
501	159	158
502	159	157
503	159	157
504	159	156
505	160	156
506	160	155
507	160	155
508	160	155
509	160	154
510	161	154
511	161	153
512	161	153
513	161	152
514	161	152
515	162	152
516	162	151
517	162	151
518	162	150
519	162	150
520	163	149
521	163	149
522	163	149
523	163	148
524	163	148
525	164	147
526	164	147
527	164	147
528	164	146
529	164	146
530	165	145
531	165	145
532	165	144
533	165	144
534	165	144
535	166	143
536	166	143
537	166	142
538	166	142
539	166	142
540	167	141
541	167	141
542	167	140
543	167	140
544	167	140
545	168	139
546	168	139
547	168	138
548	168	138
549	168	138
550	169	137
551	169	137
552	169	136
553	169	136
554	169	136
555	169	135
556	170	135
557	170	134
558	170	134
559	170	134
560	170	133
561	171	133
562	171	132
563	171	132
564	171	132
565	171	131
566	172	131
567	172	131
568	172	130
569	172	130
570	172	129
571	173	129
572	173	129
573	173	128
574	173	128
575	173	128
576	174	127
577	174	127
578	174	126
579	174	126
580	174	126
581	175	125
582	175	125
583	175	125
584	175	124
585	175	124
586	176	123
587	176	123
588	176	123
589	176	122
590	176	122
591	177	122
592	177	121
593	177	121
594	177	120
595	177	120
596	178	120
597	178	119
598	178	119
599	178	119
600	178	118
601	179	118
602	179	118
603	179	117
604	179	117
605	179	116
606	180	116
607	180	116
608	180	115
609	180	115
610	180	115
611	180	114
612	181	114
613	181	114
614	181	113
615	181	113
616	181	112
617	182	112
618	182	112
619	182	111
620	182	111
621	182	111
622	183	110
623	183	110
624	183	110
625	183	109
626	183	109
627	184	109
628	184	108
629	184	108
630	184	108
631	184	107
632	185	107
633	185	106
634	185	106
635	185	106
636	185	105
637	186	105
638	186	105
639	186	104
640	186	104
641	186	104
642	187	103
643	187	103
644	187	103
645	187	102
646	187	102
647	188	102
648	188	101
649	188	101
650	188	101
651	188	100
652	189	100
653	189	100
654	189	99
655	190	99
656	190	99
657	190	98
658	190	98
659	190	98
660	191	97
661	191	97
662	191	97
663	191	96
664	191	96
665	192	96
666	192	95
667	192	95
668	192	95
669	192	94
670	193	94
671	193	94
672	193	93
673	193	93
674	193	93
675	194	92
676	194	92
677	194	92
678	194	92
679	194	91
680	195	91
681	195	91
682	195	90
683	195	90
684	195	90
685	195	89
686	196	89
687	196	89
688	196	88
689	196	88
690	196	88
691	197	87
692	197	87
693	197	87
694	197	86
695	197	86
696	198	86
697	198	85
698	198	85
699	198	85
700	198	84
701	198	84
702	199	84
703	199	83
704	199	83
705	199	83
706	200	82
707	200	82
708	200	82
709	200	81
710	201	81
711	201	81
712	201	81
713	201	80
714	201	80
715	202	80
716	202	79
717	202	79
718	202	79
719	202	78
720	203	78
721	203	78
722	203	77
723	203	77
724	204	77
725	204	77
726	204	76
727	204	76
728	204	76
729	205	75
730	205	75
731	205	75
732	205	74
733	205	74
734	206	74
735	206	74
736	206	73
737	206	73
738	206	73
739	207	72
740	207	72
741	207	72
742	207	71
743	207	71
744	208	71
745	208	70
746	208	70
747	208	70
748	208	70
749	209	69
750	209	69
751	209	69
752	209	68
753	209	68
754	210	68
755	210	67
756	210	67
757	210	67
758	210	66
759	211	66
760	211	66
761	211	66
762	211	65
763	212	65
764	212	65
765	212	64
766	212	64
